project,stars,whatchers,contributors,forks,size,category
iosched,7720,961,25,2974,24439,Application
muzei,1874,155,8,464,15815,Application
k-9,2018,274,200,1239,84435,Application
actor-platform,1826,132,13,266,258198,Application
Android-PullToRefresh,5435,895,21,3760,4277,Non-web libraries and frameworks
picasso,6948,648,58,1935,18355,Non-web libraries and frameworks
android-volley,2361,274,26,947,1971,Non-web libraries and frameworks
zxing,5827,769,42,3709,272514,Non-web libraries and frameworks
guice,2076,241,18,355,63618,Non-web libraries and frameworks
facebook-android-sdk,3408,458,28,2019,20215,Non-web libraries and frameworks
Bolts-Android,1979,170,12,281,1005,Non-web libraries and frameworks
androidquery,1769,218,6,576,17080,Non-web libraries and frameworks
h2o-2,1768,368,47,425,774634,Non-web libraries and frameworks
Calligraphy,2386,139,24,308,2537,Non-web libraries and frameworks
ListViewAnimations,4082,428,14,1474,23973,Non-web libraries and frameworks
jsoup,2133,216,40,728,5010,Non-web libraries and frameworks
jna,1838,197,67,532,226232,Non-web libraries and frameworks
fresco,5726,582,13,1521,15026,Non-web libraries and frameworks
junit,3822,479,200,1546,29350,Non-web libraries and frameworks
libgdx,6839,918,400,4051,1008836,Non-web libraries and frameworks
MaterialEditText,1948,126,13,397,2174,Non-web libraries and frameworks
stetho,3088,183,20,255,3482,Non-web libraries and frameworks
neo4j,1885,238,200,731,482110,Non-web libraries and frameworks
guava,4438,551,31,962,109067,Non-web libraries and frameworks
acra,2170,254,29,625,4388,Non-web libraries and frameworks
dubbo,2179,714,10,2283,24647,Non-web libraries and frameworks
processing,2009,282,70,589,1657048,Non-web libraries and frameworks
gocd,1712,133,53,293,269579,Non-web libraries and frameworks
MaterialDrawer,2316,153,21,380,21150,Non-web libraries and frameworks
HikariCP,1724,180,33,215,15900,Non-web libraries and frameworks
robospice,2518,234,24,508,143058,Non-web libraries and frameworks
roboguice,3222,353,17,839,53339,Non-web libraries and frameworks
HoloEverywhere,2271,193,41,760,27766,Non-web libraries and frameworks
PhotoView,4024,397,14,1618,34475,Non-web libraries and frameworks
UltimateRecyclerView,1577,117,6,341,3694,Non-web libraries and frameworks
druid,2045,558,44,1318,55023,Non-web libraries and frameworks
netty,5073,793,200,2563,128333,Software tools
spring-boot,2708,448,200,2815,68837,Software tools
OpenRefine,3035,362,26,521,269201,Software tools
Hystrix,3821,521,52,651,33130,Software tools
RxJava,6990,680,200,971,422381,System Software
j2objc,3090,225,11,350,22755,System Software
gradle,2564,260,200,1055,597247,System Software
atmosphere,2280,224,90,517,203969,System Software
orientdb,1947,253,82,414,184517,System Software
kotlin,1866,172,200,269,1489771,System Software
cassandra,2227,344,200,970,242061,System Software
titan,2921,297,28,557,112200,System Software
glide,4263,322,16,771,28007,Web libraries and frameworks
okhttp,5607,494,73,1314,29101,Web libraries and frameworks
spring-framework,6276,1338,200,5371,306838,Web libraries and frameworks
commons-io,135,33,15,91,8811,Non-web libraries and frameworks
Koloboke,347,62,3,43,32481,Non-web libraries and frameworks
parseq,321,73,12,78,4302,Web libraries and frameworks
commons-lang,297,66,29,208,31487,Non-web libraries and frameworks
zt-exec,168,27,6,16,796,Non-web libraries and frameworks
WeatherLib,505,42,7,154,31134,Non-web libraries and frameworks
truth,406,48,16,39,5769,Non-web libraries and frameworks
jogl,143,24,30,87,146619,Non-web libraries and frameworks
StartupNews,266,42,1,102,13140,Non-web libraries and frameworks
chipKIT32-MAX,110,31,20,60,3123007,Software tools
raven-java,146,9,19,91,7102,Software tools
minimal-json,219,43,6,82,2198,Non-web libraries and frameworks
jgit,267,46,90,145,42674,Non-web libraries and frameworks
Android-Universal-Image-Loader,9793,1265,35,4594,26820,Non-web libraries and frameworks
quickblox-android-sdk,155,54,11,391,197106,Application
jgraphx,225,60,2,164,54071,Non-web libraries and frameworks
adblockplusandroid,109,20,7,57,13965,Application
Carbon,861,55,3,109,6158,Non-web libraries and frameworks
mcpatcher,188,32,2,19,9350,Application
spring-batch,455,155,51,504,49515,Non-web libraries and frameworks
overthere,102,28,16,35,5704,Non-web libraries and frameworks
CrossBow,109,5,0,9,4418,Web libraries and frameworks
javaewah,162,26,11,36,3155,Non-web libraries and frameworks
zoie,315,34,7,104,11078,System Software
ideavim,1291,115,21,201,10817,Software tools
jcabi-aspects,138,12,16,54,5566,Non-web libraries and frameworks
webmagic,1227,262,18,803,11434,Web libraries and frameworks
osmdroid,447,81,9,224,11033,Non-web libraries and frameworks
elephant-bird,885,256,50,321,67413,Non-web libraries and frameworks
nifty,354,97,9,115,2093,Non-web libraries and frameworks
bobo,141,21,14,96,11419,System Software
st-js,106,23,13,29,12110,Software tools
android-maven-plugin,878,86,200,366,36998,Software tools
logback,518,76,76,368,38736,Non-web libraries and frameworks
GLWallpaperService,170,24,6,84,717,Non-web libraries and frameworks
CLAVIN,147,42,12,54,49864,Non-web libraries and frameworks
Yaaic,203,22,19,91,6101,Application
feign,530,190,28,106,8109,Web libraries and frameworks
NotePad,287,26,15,120,35583,Application
xssValidator,105,39,4,25,860,Application
photup,739,70,1,271,37229,Application
red5-server,316,75,9,142,40545,System Software
selendroid,387,115,44,253,20763,Non-web libraries and frameworks
jbox2d,213,50,11,80,28745,Non-web libraries and frameworks
caffeine,255,31,6,11,8917,Non-web libraries and frameworks
functionaljava,512,63,29,88,3792,Non-web libraries and frameworks
spring-security,784,196,65,1074,47656,Non-web libraries and frameworks
Jnario,121,19,8,34,429269,Non-web libraries and frameworks
ErrorView,384,17,2,62,2508,Non-web libraries and frameworks
tape,1125,115,18,170,1816,Non-web libraries and frameworks
java-apns,1057,183,26,428,2442,Web libraries and frameworks
karyon,228,213,20,108,5571,Non-web libraries and frameworks
asynchbase,350,58,14,183,4852,Non-web libraries and frameworks
parboiled,797,69,10,86,51294,Software tools
spock,731,89,23,145,19919,Non-web libraries and frameworks
Android-Next,226,21,2,67,2694,Non-web libraries and frameworks
jolokia,265,43,18,78,21123,Web libraries and frameworks
httl,174,62,6,101,6206,Software tools
twitter4j,1580,189,200,736,14082,Non-web libraries and frameworks
carrot2,204,32,3,89,332478,Application
fabric8,373,90,77,249,355442,Application
FBReaderJ,900,113,31,579,231290,Application
telescope,501,25,6,41,2691,Application
play-pac4j,157,27,11,37,1163,Web libraries and frameworks
WizarDroid,130,16,6,46,4560,Non-web libraries and frameworks
spring-elasticsearch,154,31,7,61,902,Non-web libraries and frameworks
hibernate-memcached,106,24,6,83,581,Non-web libraries and frameworks
restcountries,327,17,5,28,2588,Non-web libraries and frameworks
snappy,234,25,8,41,2429,Non-web libraries and frameworks
changeloglib,635,39,5,98,4124,Non-web libraries and frameworks
obd-java-api,100,23,12,70,1436,Non-web libraries and frameworks
spring,281,105,12,290,6917,Non-web libraries and frameworks
fixture-factory,104,38,15,42,1006,Software tools
java-api-wrapper,144,135,7,88,1422,Non-web libraries and frameworks
elasticsearch-jdbc,958,105,29,293,12031,Non-web libraries and frameworks
simpletask-android,124,28,13,49,44919,Application
spring-data-document-examples,135,64,4,100,1585,Application
hppc,171,29,1,34,45606,Non-web libraries and frameworks
cloudhopper-smpp,292,220,13,149,3069,Non-web libraries and frameworks
memcached-session-manager,279,52,14,152,7649,Software tools
java,140,81,8,290,240424,Non-web libraries and frameworks
android-bankdroid,231,33,37,155,49613,Application
mapbox-android-sdk,433,154,48,175,148472,System Software
java-memcached-client,394,63,29,247,9572,Non-web libraries and frameworks
swift,399,95,20,156,8267,Non-web libraries and frameworks
ChatSecureAndroid,837,145,31,461,68011,Application
todo.txt-android,947,88,26,415,14237,Application
live-chat-engine,156,24,3,25,25076,Application
facebook4j,151,30,9,73,5971,Non-web libraries and frameworks
android-sqlite-asset-helper,1234,108,4,314,2361,Software tools
audio-wife,125,12,1,39,1413,Non-web libraries and frameworks
GoogleAuth,129,28,3,57,664,Non-web libraries and frameworks
MaterialSpinner,295,15,2,54,3917,Application
thymeleaf-layout-dialect,167,28,5,21,2480,Web libraries and frameworks
jenkins-gitlab-merge-request-builder-plugin,190,22,21,77,602,Application
Android-BitmapCache,763,69,2,226,1302,Non-web libraries and frameworks
guava-retrying,168,22,7,30,1078,Non-web libraries and frameworks
multi-thread-context,139,40,2,76,2870,Non-web libraries and frameworks
material-menu,1590,96,4,374,1775,Non-web libraries and frameworks
liblinear-java,149,29,4,66,869,Non-web libraries and frameworks
maven-gae-plugin,127,23,14,41,3232,Software tools
Android-Iconics,440,25,7,71,6013,Non-web libraries and frameworks
snappy-java,216,36,19,71,26935,Application
netflix-graph,298,236,2,49,1149,Non-web libraries and frameworks
Paginize,302,26,1,41,1252,Non-web libraries and frameworks
webimageloader,107,20,3,23,2699,Non-web libraries and frameworks
jasmine-maven-plugin,281,30,24,152,9579,Software tools
jsonld-java,130,37,17,66,3935,Non-web libraries and frameworks
htmlelements,115,37,13,58,1872,Web libraries and frameworks
m2e-android,353,33,18,73,18024,Software tools
seyren,550,60,29,142,58991,Software tools
libgdx-contribs,133,30,4,38,3224,Non-web libraries and frameworks
dynalink,158,22,3,10,3292,Non-web libraries and frameworks
HearthStats.net-Uploader,141,25,16,76,427355,Application
spring-retry,112,25,7,38,953,Non-web libraries and frameworks
world,103,19,1,157,4430,Application
v2ex-daily-android,383,27,2,106,5698,Non-web libraries and frameworks
Transitions-Everywhere,759,44,3,91,1058,Non-web libraries and frameworks
EverMemo,437,37,1,173,3542,Application
librec,130,28,2,75,6034,Non-web libraries and frameworks
pebble,149,23,14,22,6508,Non-web libraries and frameworks
prevayler,189,32,7,22,7633,Non-web libraries and frameworks
floobits-intellij,113,2,4,3,9057,Software tools
AisenForAndroid,196,35,1,94,9588,Non-web libraries and frameworks
sdkexamples-android,211,52,10,177,26371,Application
BarcodeScanner,732,83,26,762,17460,Application
wiremock,555,53,29,267,6177,Non-web libraries and frameworks
gwtbootstrap3,255,60,30,116,6909,Software tools
elasticsearch-knapsack,262,26,7,46,6973,Application
validator,140,21,22,31,11769,Application
TweetLanes,679,84,16,270,25999,Application
MonsterHunter4UDatabase,106,48,14,49,67860,System Software
metadata-extractor,184,27,6,34,22128,Non-web libraries and frameworks
suro,416,245,11,109,6410,System Software
MozStumbler,452,52,83,176,13404,Software tools
d2rq,125,32,11,63,93683,System Software
jacoco,343,60,14,142,11754,Non-web libraries and frameworks
fast-serialization,387,39,5,68,7676,Software tools
enroscar,177,33,5,20,46108,Software tools
spring-security-oauth,971,218,58,1211,14663,Web libraries and frameworks
restx,293,36,18,64,12552,Web libraries and frameworks
grpc-java,828,152,30,192,21016,Non-web libraries and frameworks
javaslang,275,25,14,31,8578,Non-web libraries and frameworks
crash,371,47,23,96,16950,System Software
platform_dalvik,266,68,61,188,98878,System Software
openhab,1591,311,300,923,259640,Application
mongo-hadoop,968,135,47,399,93372,Non-web libraries and frameworks
lwjgl,396,83,26,108,40230,Non-web libraries and frameworks
sqoop-release,124,25,13,130,19619,System Software
java-driver,497,133,59,354,24339,Application
robocode,158,44,4,63,73243,Application
c3p0,383,62,5,113,6685,Non-web libraries and frameworks
powermock,201,26,9,96,6447,Non-web libraries and frameworks
flyway,916,88,38,315,14174,Application
joda-time,1536,139,35,357,17397,Non-web libraries and frameworks
zaproxy,274,39,38,65,178902,Application
android-support-v4-googlemaps,190,26,3,62,45304,Non-web libraries and frameworks
android-xbmcremote,383,84,20,305,24023,Non-web libraries and frameworks
gs-collections,1256,190,9,173,18833,Non-web libraries and frameworks
pdfbox,198,36,5,151,100536,Non-web libraries and frameworks
spring-integration,374,84,62,349,88887,Software tools
opencms-core,205,81,33,206,1004959,Web libraries and frameworks
Terasology,1106,123,60,440,320790,Non-web libraries and frameworks
bc-java,202,49,23,179,26668,Application
activejdbc,221,42,17,82,11236,Non-web libraries and frameworks
google-api-java-client,205,48,12,136,14301,Non-web libraries and frameworks
args4j,332,29,23,102,8402,Non-web libraries and frameworks
groovy-eclipse,108,24,13,73,560822,Software tools
railo,246,45,15,86,923239,Software tools
assertj-core,457,39,64,117,25795,Non-web libraries and frameworks
pgjdbc,154,40,56,143,16170,Non-web libraries and frameworks
android-beacon-library,766,120,17,267,7210,Non-web libraries and frameworks
togglz,137,31,17,61,2422,Non-web libraries and frameworks
Smack,504,122,31,319,30731,Non-web libraries and frameworks
jackson-core,725,96,24,242,9776,Non-web libraries and frameworks
zk,159,46,34,103,747752,Web libraries and frameworks
android_frameworks_base,354,134,94,999,2782643,Non-web libraries and frameworks
TwelveMonkeys,224,38,10,77,206337,Non-web libraries and frameworks
languagetool,455,54,32,128,309069,Software tools
spring-android,538,91,6,204,5755,Non-web libraries and frameworks
freemarker,327,60,6,134,19886,Non-web libraries and frameworks
ormlite-core,212,33,5,108,19738,Non-web libraries and frameworks
keepassdroid,527,87,20,204,20089,Non-web libraries and frameworks
spring-data-mongodb,400,133,39,331,29042,Software tools
hudson-2.x,150,16,30,41,72864,System Software
geoserver,457,128,200,548,238056,System Software
logstash-logback-encoder,226,22,33,80,1947,Non-web libraries and frameworks
shiro,182,43,2,134,27372,Application
JavaHamcrest,603,81,13,117,21884,Non-web libraries and frameworks
enunciate,177,40,17,90,28563,Web libraries and frameworks
hibernate-orm,1332,198,200,1137,264120,Non-web libraries and frameworks
davdroid,499,68,10,128,50252,Application
OpenIAB,398,70,26,151,273406,Non-web libraries and frameworks
Applied-Energistics-2,256,83,33,117,23405,Application
servo,702,267,22,142,9296,Application
spring-data-commons,155,86,30,134,13005,Software tools
jmeter,237,60,4,148,199571,Application
zookeeper,1075,211,8,784,49099,Software tools
jPOS,146,42,26,152,46995,Application
thymeleaf,364,67,11,89,10039,Web libraries and frameworks
restfb,296,60,24,150,10425,Non-web libraries and frameworks
spring-data-rest,305,106,28,186,12069,Non-web libraries and frameworks
platform_frameworks_support,556,89,42,349,37011,Non-web libraries and frameworks
openwayback,112,39,24,76,45226,Software tools
soot,311,51,45,138,183275,Non-web libraries and frameworks
OG-Platform,223,51,41,143,937089,Software tools
grails-core,1445,171,200,699,414029,Web libraries and frameworks
mapdb,1545,220,24,393,14464,System Software
Openfire,526,118,50,391,775974,System Software
jclouds,197,49,200,301,189447,Software tools
EhViewer,232,35,1,42,104633,Application
GWTP,279,61,41,101,414879,Web libraries and frameworks
mongo-java-driver,1308,184,77,815,45782,Non-web libraries and frameworks
hudson,345,45,400,2068,120559,Software tools
gwt,426,130,57,94,332650,Software tools
cursor-utils,180,45,5,9,463,Non-web libraries and frameworks
Java-Thread-Affinity,147,50,8,54,7758,Application
gnucash-android,351,62,26,194,18536,Application
subsonic,185,45,4,53,261413,Application
Subsonic,125,25,12,51,142550,Non-web libraries and frameworks
AxonFramework,289,55,37,121,27575,Non-web libraries and frameworks
liquibase,759,82,200,526,136858,System Software
operaprestodriver,126,42,18,52,143590,Non-web libraries and frameworks
playn,200,47,29,69,80114,Non-web libraries and frameworks
nifty-gui,118,32,21,48,58106,Non-web libraries and frameworks
frames,136,33,10,37,6900,Non-web libraries and frameworks
restlet-framework-java,310,75,32,164,516787,Non-web libraries and frameworks
asterisk-java,149,43,28,122,19260,Non-web libraries and frameworks
calabash-android,952,139,58,443,51294,Software tools
ps3mediaserver,396,81,28,203,37620,System Software
slf4j,370,48,37,221,12945,Software tools
jnr-ffi,169,23,15,30,7090,Non-web libraries and frameworks
xwiki-platform,122,32,49,154,731011,Non-web libraries and frameworks
fanfoudroid,341,81,5,201,8179,Application
Resteasy,327,59,71,476,59456,Non-web libraries and frameworks
curator-apache,207,43,38,136,20153,Non-web libraries and frameworks
android-utils,160,13,2,25,1996,Non-web libraries and frameworks
JSONassert,144,22,10,47,1216,Non-web libraries and frameworks
crawljax,240,63,30,130,169048,Application
avaje-ebeanorm,184,34,25,84,16515,Non-web libraries and frameworks
legacy-jclouds,508,37,88,237,156500,Web libraries and frameworks
openmrs-core,226,81,200,1138,269410,Web libraries and frameworks
vaadin,439,104,68,208,119620,Non-web libraries and frameworks
opennlp,129,21,4,44,13135,Non-web libraries and frameworks
github-plugin,119,171,32,152,1397,Application
rest-assured,464,42,17,150,12117,Web libraries and frameworks
igv,140,39,18,63,377846,Application
xtext,158,21,33,80,812810,Non-web libraries and frameworks
tomcat70,184,42,9,145,55536,System Software
